model_name,train_loss,train_acc,val_loss,val_acc
model_1,0.0208,99.91,0.1258,87.36
model_2,0.0208,99.01,0.1243,87.42
model_3,0.0102,99.01,0.1234,87.42
model_4,0.0205,99.90,0.5197,87.60
model_5,0.1344,97.57,0.3429,88.46
model_6,0.4214,83.93,0.4191,81.31
model_7,0.3391,87.88,0.3690,83.81
model_8,0.2474,92.28,0.3370,86.32
model_9,0.1211,97.41,0.3714,87.63
model-limited-10pct,0.4550,85.16,0.5130,75.39
model-limited-25pct,0.2064,95.10,0.3988,84.15
model-limited-35pct,0.1802,96.32,0.3866,85.19
model-limited-50pct,0.1545,97.09,0.3746,86.34
model-limited-75pct,0.1466,97.17,0.3605,87.26
